audio_file_path,subject,issueTime,sex,treatment,strain
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box04,029,160352,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/box05,034,160357,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box13,035,160357,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box06,049,160329,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/box01,005,160327,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box14,050,160358,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box15,051,160357,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box08,054,160357,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box16,058,160357,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box09,006,160334,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box02,009,160326,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/Box11,010,114848,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/Box02,011,114657,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/Box10,002,114823,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/Box12,020,114908,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/Box13,023,114924,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/Box14,025,114940,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/Box15,027,114953,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/box01,003,114640,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/Box04,031,114719,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/Box16,041,115009,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/box05,042,114740,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_11-44-46_Wistar_Urgency_group1/pi-data_2024-09-26_11-44-46_Wistar_Urgency_group1/Box08,056,114805,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box09,001,132002,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box10,013,132040,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box02,014,131708,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box11,026,132111,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box03,030,131747,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box12,033,132140,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box13,036,132214,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box04,037,132358,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box14,040,132241,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/box05,043,131819,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box15,045,132303,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box06,055,131903,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/Box16,057,132322,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_13-15-24_Wistar_Urgency_group2/pi-data_2024-09-26_13-15-24_Wistar_Urgency_group2/box01,008,131645,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box10,012,144459,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box11,018,144525,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box03,024,144150,M,EtOH,Wistar
