audio_file_path,subject,sex,treatment,issueTime,scentDays
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/box05/mic/20251103_110000.WAV,75,M,Control,110207,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/box05/mic/20251103_110500.WAV,75,M,Control,110207,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/box05/mic/20251103_111000.WAV,75,M,Control,110207,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/box05/mic/20251103_111500.WAV,75,M,Control,110207,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/box05/mic/20251103_112000.WAV,75,M,Control,110207,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/box05/mic/20251103_112500.WAV,75,M,Control,110207,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/box05/mic/20251103_113000.WAV,75,M,Control,110207,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/box05/mic/20251103_113500.WAV,75,M,Control,110207,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/box05/mic/20251103_114000.WAV,75,M,Control,110207,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box04/mic/20251103_105835.WAV,77,M,Control,110145,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box04/mic/20251103_110000.WAV,77,M,Control,110145,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box04/mic/20251103_110500.WAV,77,M,Control,110145,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box04/mic/20251103_111000.WAV,77,M,Control,110145,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box04/mic/20251103_111500.WAV,77,M,Control,110145,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box04/mic/20251103_112000.WAV,77,M,Control,110145,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box04/mic/20251103_112500.WAV,77,M,Control,110145,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box04/mic/20251103_113000.WAV,77,M,Control,110145,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box04/mic/20251103_113500.WAV,77,M,Control,110145,no
