data_path,subject,issueTime,sex,treatment,strain
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box16/mic/20241028_114500.WAV,058,112747,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box16/mic/20241028_115000.WAV,058,112747,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box09/mic/20241028_112109.WAV,006,112532,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box09/mic/20241028_112500.WAV,006,112532,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box09/mic/20241028_113000.WAV,006,112532,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box09/mic/20241028_113500.WAV,006,112532,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box09/mic/20241028_114000.WAV,006,112532,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box09/mic/20241028_114500.WAV,006,112532,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box09/mic/20241028_115000.WAV,006,112532,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box02/mic/20241028_112108.WAV,009,112259,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box02/mic/20241028_112500.WAV,009,112259,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box02/mic/20241028_113000.WAV,009,112259,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box02/mic/20241028_113500.WAV,009,112259,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box02/mic/20241028_114000.WAV,009,112259,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box02/mic/20241028_114500.WAV,009,112259,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box02/mic/20241028_115000.WAV,009,112259,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box10/mic/20241028_130336.WAV,015,130853,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box10/mic/20241028_130500.WAV,015,130853,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box10/mic/20241028_131000.WAV,015,130853,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box10/mic/20241028_131500.WAV,015,130853,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box10/mic/20241028_132000.WAV,015,130853,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box10/mic/20241028_132500.WAV,015,130853,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box10/mic/20241028_133000.WAV,015,130853,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box10/mic/20241028_133500.WAV,015,130853,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box02/mic/20241028_130336.WAV,016,130644,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box02/mic/20241028_130500.WAV,016,130644,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box02/mic/20241028_131000.WAV,016,130644,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box02/mic/20241028_131500.WAV,016,130644,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box02/mic/20241028_132000.WAV,016,130644,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box02/mic/20241028_132500.WAV,016,130644,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box02/mic/20241028_133000.WAV,016,130644,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-10-28_13-03-36_Wistar_Urgency_group2/pi-data_2024-10-28_13-03-36_Wistar_Urgency_group2/Box02/mic/20241028_133500.WAV,016,130644,F,Control,Wistar
