audio_file_path,subject,sex,treatment
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/Box04,029,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/box05,034,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/Box13,035,F,EtOH
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/Box06,049,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/box01,005,M,Control
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/Box14,050,F,EtOH
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/Box15,051,F,EtOH
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/Box08,054,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/Box16,058,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/Box09,006,F,Control
/datastar/behavior_rooms/DD/2024-10-16_13-14-22_Wistar_Urgency_group3/pi-data_2024-10-16_13-14-22_Wistar_Urgency_group3/Box02,009,M,Control
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box10,015,M,Control
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box02,016,F,Control
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box11,019,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box12,021,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box13,022,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box14,038,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box04,039,F,EtOH
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/box01,004,F,Control
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box15,044,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/box05,046,F,EtOH
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box06,048,F,EtOH
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box16,052,M,EtOH
/datastar/behavior_rooms/DD/2024-10-16_14-34-59_Wistar_Urgency_group4/pi-data_2024-10-16_14-34-59_Wistar_Urgency_group4/Box09,007,M,Control
/datastar/behavior_rooms/DD/2024-10-17_10-44-30_Wistar_Urgency_group1/pi-data_2024-10-17_10-44-30_Wistar_Urgency_group1/Box09,001,M,Control
